"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Central African Republic","CAF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","89209","88715","87410","","","","97640","100542","","","100715","101873","105894","","","97877","119301","125793","128637","116383","127417","","","","","","","","","","","","","","191659","195876","179703","155453","159802","154280","162133","153356","","","","","","","","",
"Canada","CAN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","42952","47635","54304","54512","50305","50516","50656","55016","42881","20913","23836","47095","58382","68163","57977","","10482","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219444","124189","136548","136109","124991","124554","126967","124099","126200","119854","100308","93250","89522","79881","81353","77233","85490","94487","101543","112910","122143","123162","121925","",
"Switzerland","CHE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","68114","65864","","","58828","56934","55295","54383","53047","50809","46863","42291","37913","34248","32728","33234","35149","37549","25830","21281","","","","","","","","789","","","","","727","674","223","50","","","","","","","","",
"Channel Islands","CHI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27605","24250","33244","22012","26358","26979","29934","29876","28819","24200","18830","11999","","",
"China","CHN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","5644462","","3576938","","2947348","3318657","3877516","4769183","5804367","6687434","7254031","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","323179","","","","","","","","","","","","","","","","","","","622093","631301","","646839","684776","645821","675121","713357","","","","","","821798","","","","620627","577381","518393","330089","289354","197509","166688","",
"Cameroon","CMR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","218021","225321","242102","255584","231021","228075","241626","243076","243803","249715","","","","","","","","281750","","311832","340266","","","","","","","","","","","","","","","","","","","","276427","","","","","176603","210143","","262532","",
"Congo, Dem. Rep.","COD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","731748","768819","","","764101","","","","814435","","","","812444","805814","","","","1129397","","","1311240","1392313","1472123","1527593","1473282","","","","2405236","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","26335","","20661","","16348","","10952","10570","20642","22712","22113","21312","20664","","","","","","","","","","","","","","","","","","","","","119170","134265","","","","49400","","23491","","","","","","","","",
